############################################################
Species: N
############################################################
# number of spectral data
46
#No.  E(cm-1)    g   2nd qn
1 	 0.0 	       4 	   1 	 
27 	 22 	 2.70578e+06 
29 	 22 	 1.85718e+06 
30 	 22 	 2.13302e+05 
38 	 22 	 4.17209e+05 
39 	 22 	 6.41662e+04 
27 	 23 	 2.18783e+06 
29 	 23 	 3.12578e+05 
30 	 23 	 6.02254e+05 
38 	 23 	 4.26510e+04 
39 	 23 	 1.61502e+05 
28 	 24 	 1.89867e+06 
29 	 24 	 7.94084e+05 
30 	 24 	 9.87048e+04 
38 	 24 	 1.52514e+05 
39 	 24 	 2.14292e+04 
27 	 25 	 2.87000e+05 
29 	 25 	 3.39111e+05 
37 	 25 	 8.90000e+04 
38 	 25 	 6.05510e+04 
40 	 25 	 2.87812e+04 
42 	 25 	 2.25532e+04 
43 	 25 	 7.41270e+02 
44 	 25 	 2.42800e+04 
45 	 25 	 3.58333e+03 
28 	 26 	 2.33767e+06 
29 	 26 	 2.60222e+04 
30 	 26 	 2.49333e+05 
39 	 26 	 3.94369e+04 
33 	 27 	 6.82747e+05 
34 	 27 	 8.64000e+05 
31 	 28 	 5.67333e+03 
32 	 28 	 9.32000e+04 
33 	 28 	 7.34947e+04 
35 	 28 	 6.47160e+05 
36 	 28 	 3.54600e+05 
31 	 29 	 1.42933e+03 
32 	 29 	 4.21000e+05 
33 	 29 	 1.93060e+05 
34 	 29 	 7.78000e+05 
35 	 29 	 5.65720e+05 
36 	 29 	 3.78200e+03 
33 	 30 	 1.02121e+05 
35 	 30 	 6.45160e+04 
36 	 30 	 1.19933e+05 
38 	 31 	 1.97396e+05 
39 	 31 	 2.30600e+04 
38 	 32 	 6.59184e+04 
38 	 33 	 4.85450e+05 
39 	 33 	 3.24965e+05 
37 	 34 	 5.94778e+04 
38 	 34 	 8.25714e+04 
40 	 34 	 1.51750e+04 
42 	 34 	 2.36596e+04 
43 	 34 	 3.61905e+02 
44 	 34 	 1.23600e+04 
45 	 34 	 1.78333e+03 
38 	 35 	 7.03449e+04 
39 	 35 	 1.05323e+04 
38 	 36 	 7.27347e+01 
39 	 36 	 5.43846e+03 
############################################################
Species: N+
############################################################
# number of spectral data
  5
# No.      E(cm-1)    g   2nd qn
  1         88.89     9    1
  2      15316.17     5    1
  3      32688.64     1    1
  4      46784.56     5    1
  5      92243.94    15    1
# Einstein A (sec^-1)
# number of radiative transitions
  0
