############################################################
Species: N2
############################################################
Band: First_Positive
Upper Electronic State: 3
Lower Electronic State: 2
#  vl    vu    A (1/s)
   2     3   1.7440e+06 
   2     4   4.0450e+06 
   2     5   3.0810e+06 
   2     6   1.5190e+06 
   2     7   5.9070e+05 
   2     8   1.9740e+05 
   2     9   5.9230e+04 
   2    10   1.6430e+04 
   2    11   4.3040e+03 
   2    12   1.0820e+03 
   2    13   2.6260e+02 
   2    14   6.1410e+01 
   2    15   1.3650e+01 
   2    16   2.7860e+00 
   3     0   5.7660e+05 
   3     1   7.8580e+06 
   3     2   6.1490e+06 
   3     3   2.9920e+06 
   3     4   1.1950e+05 
   3     5   2.3810e+06 
   3     6   2.9720e+06 
   3     7   1.9590e+06 
   3     8   9.4330e+05 
   3     9   3.7640e+05 
   3    10   1.3210e+05 
   3    11   4.2040e+04 
   3    12   1.2430e+04 
   3    13   3.4830e+03 
   3    14   9.3260e+02 
   3    15   2.3780e+02 
   3    16   5.6860e+01 
   3    17   1.2390e+01 
   3    18   2.3130e+00 
   4     0   1.2970e+04 
   4     1   1.3840e+06 
   4     2   9.5900e+06 
   4     3   3.0630e+06 
   4     4   3.8640e+06 
   4     5   1.2820e+05 
   4     6   1.0230e+06 
   4     7   2.3260e+06 
   4     8   2.0430e+06 
   4     9   1.1960e+06 
   4    10   5.5780e+05 
   4    11   2.2460e+05 
   4    12   8.1060e+04 
   4    13   2.6750e+04 
   4    14   8.2270e+03 
   4    15   2.4000e+03 
   4    16   6.6590e+02 
   4    17   1.7230e+02 
   4    18   3.9840e+01 
   4    19   7.6990e+00 
END Second_Positive
END N2
############################################################
Species: N2+
############################################################
Band: First_Negative
Upper Electronic State: 3
Lower Electronic State: 1
#  vl    vu    A (1/s)
   0     0   1.2140e+07 
   0     1   3.9180e+06 
   0     2   8.1360e+05 
   0     3   1.3670e+05 
   0     4   2.0290e+04 
   0     5   2.7690e+03 
   0     6   3.5360e+02 
   0     7   4.2320e+01 
   0     8   4.6760e+00 
   1     0   6.3340e+06 
   1     1   4.2570e+06 
   1     2   4.5220e+06 
   1     3   1.6390e+06 
   1     4   3.9780e+05 
   1     5   7.7970e+04 
   1     6   1.3350e+04 
   1     7   2.0690e+03 
   1     8   2.9460e+02 
   1     9   3.8260e+01 
   1    10   4.4110e+00 
   2     0   1.0330e+06 
   2     1   8.6110e+06 
   2     2   9.6110e+05 
   2     3   3.6900e+06 
   2     4   2.1350e+06 
   2     5   7.0490e+05 
   2     6   1.7510e+05 
   2     7   3.6480e+04 
   2     8   6.7150e+03 
   2     9   1.1170e+03 
   2    10   1.6810e+02 
   2    11   2.2530e+01 
   2    12   2.5690e+00 
   3     0   4.7520e+04 
   3     1   2.3690e+06 
   3     2   8.7760e+06 
   3     3   3.7290e+04 
   3     4   2.5020e+06 
   3     5   2.2510e+06 
   3     6   9.7370e+05 
   3     7   2.9770e+05 
   3     8   7.3810e+04 
   3     9   1.5830e+04 
   3    10   3.0290e+03 
   3    11   5.2180e+02 
   3    12   8.0300e+01 
   3    13   1.0710e+01 
   3    14   1.1620e+00 
   4     1   1.2510e+05 
   4     2   3.5930e+06 
   4     3   8.0710e+06 
   4     4   1.1710e+05 
