############################################################
Species: N2
############################################################
# ---------------------------------------
Band: First_Positive
# ---------------------------------------
Upper Electronic State: 3
Lower Electronic State: 2
#  vl    vu      q
   1     5   1.0700e-02 
   1     6   2.5610e-03 
   1     7   5.8340e-04 
   1     8   1.2970e-04 
   1     9   2.8490e-05 
   1    10   6.1990e-06 
   2     0   4.3980e-02 
   2     1   4.0170e-01 
   2     2   5.5800e-02 
   2     3   2.3170e-01 
   2     4   1.6530e-01 
   2     5   6.9680e-02 
   2     6   2.2940e-02 
   2     7   6.5910e-03 
   2     8   1.7510e-03 
   2     9   4.4430e-04 
   2    10   1.0960e-04 
   2    11   2.6470e-05 
   2    12   6.2580e-06 
   3     0   2.2500e-03 
   3     1   1.0330e-01 
   3     2   4.1640e-01 
   3     3   3.4860e-03 
   3     4   1.5520e-01 
   3     5   1.7070e-01 
   3     6   9.3310e-02 
   3     7   3.7410e-02 
   3     8   1.2620e-02 
   3     9   3.8450e-03 
   3    10   1.0990e-03 
   3    11   3.0160e-04 
   3    12   8.0360e-05 
   3    13   2.0910e-05 
   3    14   5.3240e-06 
   4     1   6.4840e-03 
   4     2   1.6210e-01 
   4     3   3.9400e-01 
   4     4   3.4490e-03 
   4     5   9.0430e-02 
   4     6   1.5530e-01 
   4     7   1.0720e-01 
   4     8   5.1190e-02 
   4     9   1.9920e-02 
   4    10   6.8570e-03 
   4    11   2.1840e-03 
   4    12   6.6070e-04 
   4    13   1.9300e-04 
   4    14   5.5080e-05 
   4    15   1.5500e-05 
   5     0   2.7670e-06 
   5     1   3.1380e-06 
   5     2   1.0880e-02 
   5     3   2.1260e-01 
   5     4   3.6790e-01 
   5     5   1.6100e-02 
   5     6   4.6180e-02 
   5     7   1.3050e-01 
   5     8   1.1080e-01 
   5     9   6.1820e-02 
   5    10   2.7270e-02 
   5    11   1.0470e-02 
   5    12   3.6760e-03 
   5    13   1.2170e-03 
   5    14   3.8750e-04 
   5    15   1.2070e-04 
   5    16   3.7320e-05 
   5    17   1.1690e-05 
   6     0   1.3470e-07 
   6     1   2.2370e-05 
   6     2   3.0520e-05 
   6     3   1.2930e-02 
   6     4   2.5150e-01 
   6     5   3.5670e-01 
   6     6   2.3410e-02 
   6     7   2.0220e-02 
   6     8   1.0520e-01 
   6     9   1.0610e-01 
   6    10   6.7950e-02 
   6    11   3.3400e-02 
   6    12   1.4120e-02 
   6    13   5.4060e-03 
   6    14   1.9420e-03 
   6    15   6.6970e-04 
   6    16   2.2640e-04 
   6    17   7.6490e-05 
   6    18   2.6410e-05 
   7     2   8.6140e-05 
   7     3   4.5560e-04 
   7     4   1.0560e-02 
   7     5   2.7470e-01 
   7     6   3.7120e-01 
   7     7   1.9980e-02 
   7     8   6.8690e-03 
   7     9   8.4940e-02 
   7    10   9.5920e-02 
   7    11   6.9520e-02 
   7    12   3.7260e-02 
   7    13   1.7140e-02 
   7    14   7.0690e-03 
   7    15   2.7310e-03 
   7    16   1.0130e-03 
   7    17   3.6940e-04 
   7    18   1.3530e-04 
   7    19   5.0960e-05 
   7    20   2.0200e-05 
   8     1   1.4060e-07 
   8     3   1.9140e-04 
   8     4   2.1700e-03 
   8     5   4.0840e-03 
   8     6   2.7330e-01 
   8     7   4.1670e-01 
   8     8   8.5060e-03 
   8     9   1.0450e-03 
   8    10   7.2880e-02 
   8    11   8.2500e-02 
   8    12   6.7480e-02 
   8    13   3.8240e-02 
   8    14   1.8940e-02 
   8    15   8.2960e-03 
   8    16   3.4210e-03 
   8    17   1.3530e-03 
   8    18   5.2850e-04 
   8    19   2.0820e-04 
   8    20   8.4560e-05 
   8    21   3.6150e-05 
   9     2   9.2370e-07 
   9     3   7.5560e-06 
   9     4   2.0950e-04 
   9     5   6.0850e-03 
   9     7   2.3150e-01 
   9     8   4.8920e-01 
   9    11   7.1910e-02 
   9    12   6.6250e-02 
   9    13   6.3730e-02 
   9    14   3.6010e-02 
   9    15   1.9270e-02 
   9    16   8.7540e-03 
   9    17   3.8380e-03 
   9    18   1.6000e-03 
   9    19   6.6590e-04 
   9    20   2.7930e-04 
   9    21   1.2130e-04 
  10     2   2.0670e-08 
  10     3   2.0010e-06 
  10     4   6.9020e-05 
  10     6   1.0700e-02 
  10     7   1.5110e-02 
  10     8   1.3780e-01 
  10     9   5.5500e-01 
  10    10   1.5600e-02 
  10    11   6.8800e-03 
  10    12   8.8180e-02 
  10    13   4.5460e-02 
  10    14   6.1480e-02 
  10    15   3.0070e-02 
  10    16   1.8470e-02 
  10    17   8.1920e-03 
  10    18   3.8990e-03 
  10    19   1.6670e-03 
  10    20   7.4310e-04 
  10    21   3.2650e-04 
  11     3   5.9850e-07 
  11     5   2.1470e-04 
  11     6   5.6300e-04 
  11     7   9.2990e-03 
  11     8   6.4110e-02 
  11     9   2.6070e-02 
  11    10   5.2660e-01 
  11    11   7.2770e-02 
  11    12   2.8050e-02 
  11    13   1.3560e-01 
  11    14   1.9240e-02 
  11    15   6.7150e-02 
  11    16   1.9310e-02 
  11    17   1.8050e-02 
  11    18   6.2750e-03 
  11    19   3.7780e-03 
  11    20   1.4570e-03 
  11    21   7.6100e-04 
  12     4   2.4380e-06 
  12     5   2.5030e-05 
  12     6   1.5780e-04 
  12     7   4.2740e-03 
  12     8   4.0680e-04 
  12     9   1.1160e-01 
  12    10   2.1320e-02 
  12    11   3.1010e-01 
  12    12   1.3040e-01 
  12    13   6.0980e-02 
  12    14   2.2830e-01 
  12    16   9.5730e-02 
  12    18   2.3100e-02 
  12    20   4.6420e-03 
END First_Negative
END N2+
